TIME,OPERATION,LAST NAME,FIRST NAME,RESULT
2014-01-01 02:40,New Entry,Rogers, Ronald,2014-01-01 00:46 -- Shoplifting; 2014-01-01 01:36 -- Intent to Distribute; 2014-01-01 02:10 -- Vandalism; 
2014-01-01 20:31,New Entry,Young, Ted,2014-01-01 12:34 -- Shoplifting; 
2014-01-01 07:40,Search,Rule, Sandra,No record found.
2014-01-01 13:47,Search,Hernandez, Valerie,1976-08-26 02:01 -- Identity Theft; 1989-03-21 03:52 -- Intent to Distribute; 1992-11-21 03:56 -- Intent to Distribute; 1999-09-06 10:56 -- Breaking and Entering; 2013-06-01 06:16 -- Money Laundering; 
2014-01-01 16:05,Record Updated,Steiner, Jose,2014-01-01 16:05 -- Breaking and Entering
2014-01-01 16:27,Search,Smith, Alicia,No record found.
2014-01-01 17:52,Search,Habib, Anna,No record found.
#######,,,,
2014-01-02 10:16,New Entry,Foster, Andrew,2014-01-02 00:45 -- Grand Theft Auto; 2014-01-02 03:05 -- Theft; 2014-01-02 05:11 -- Money Laundering; 
2014-01-02 07:50,Search,Watkins, Scott,No record found.
2014-01-02 21:18,Search,Smith, Patrick,No record found.
2014-01-02 21:32,Record Updated,Bloom, Malinda,2014-01-02 21:32 -- Identity Theft
#######,,,,
2014-01-03 06:08,New Entry,Cruz, David,2014-01-03 05:00 -- Possession; 2014-01-03 05:00 -- Shoplifting; 
2014-01-03 08:21,New Entry,Hinderliter, Katrina,2014-01-03 04:02 -- Theft; 
2014-01-03 20:56,New Entry,Travis, Kirsten,2014-01-03 00:59 -- Shoplifting; 2014-01-03 01:19 -- Money Laundering; 
2014-01-03 00:01,Record Updated,Stanton, Karen,2014-01-03 00:01 -- Breaking and Entering
2014-01-03 05:44,Search,Castillo, Aaron,No record found.
2014-01-03 16:50,Search,Nardi, James,2000-11-23 12:43 -- Breaking and Entering; 2003-08-05 08:44 -- Tax Evasion; 2003-09-16 19:30 -- Identity Theft; 2009-01-10 22:00 -- Theft; 
2014-01-03 23:06,Search,McClintock, Joann,No record found.
#######,,,,
2014-01-04 04:22,New Entry,Davis, Millicent,2014-01-04 00:27 -- Arson; 
2014-01-04 20:48,New Entry,Miranda, Louise,2014-01-04 05:35 -- Arson; 2014-01-04 13:14 -- Breaking and Entering; 
2014-01-04 10:47,Search,Harris, Michael,No record found.
2014-01-04 13:04,Search,Munoz, Andre,No record found.
2014-01-04 18:43,Search,Miller, Troy,No record found.
#######,,,,
2014-01-05 04:03,New Entry,Nevius, Don,2014-01-05 03:33 -- Possession; 2014-01-05 03:51 -- Shoplifting; 2014-01-05 03:52 -- Possession; 
2014-01-05 01:40,Record Deleted,Harrington, John,1981-07-14 10:24 -- Assault; 
2014-01-05 03:50,Search,Mabe, Rex,No record found.
2014-01-05 18:28,Search,Owen, Jesus,No record found.
#######,,,,
2014-01-06 04:35,New Entry,Sanford, Arlene,2014-01-06 00:36 -- Grand Theft Auto; 2014-01-06 02:19 -- Vandalism; 2014-01-06 03:42 -- Intent to Distribute; 
2014-01-06 09:53,New Entry,Reber, Rose,2014-01-06 04:04 -- Money Laundering; 2014-01-06 07:13 -- Vandalism; 
2014-01-06 10:08,New Entry,Arellano, Mae,2014-01-06 07:17 -- Assault; 
2014-01-06 15:36,Search,Quick, Karen,No record found.
#######,,,,
2014-01-07 11:45,New Entry,Maloof, Leslie,2014-01-07 01:17 -- Intent to Distribute; 
2014-01-07 18:53,New Entry,Lynch, Hazel,2014-01-07 18:08 -- Grand Theft Auto; 
2014-01-07 19:28,New Entry,Hendricks, Tamara,2014-01-07 01:27 -- Arson; 
2014-01-07 08:29,Search,Schutte, Andrew,No record found.
2014-01-07 10:18,Record Deleted,Stevens, Casey,1996-12-31 21:18 -- Identity Theft; 2000-05-07 01:11 -- Identity Theft; 2000-06-28 16:20 -- Intent to Distribute; 2009-12-29 22:37 -- Shoplifting; 
2014-01-07 11:13,Record Updated,Gordan, Lois,2014-01-07 11:13 -- Tax Evasion
2014-01-07 21:52,Record Updated,Mitchell, Jason,2014-01-07 21:52 -- Theft
2014-01-07 22:48,Search,Meyers, Vilma,No record found.
#######,,,,
2014-01-08 04:02,New Entry,Walker, Brandi,2014-01-08 00:05 -- Breaking and Entering; 2014-01-08 02:44 -- Arson; 
2014-01-08 04:31,New Entry,McCoy, Patricia,2014-01-08 02:23 -- Drunk Driving; 2014-01-08 02:58 -- Identity Theft; 2014-01-08 03:40 -- Money Laundering; 
2014-01-08 12:54,New Entry,Hartman, Richard,2014-01-08 08:12 -- Intent to Distribute; 
2014-01-08 00:51,Search,Moore, Andrea,No record found.
2014-01-08 07:40,Search,Hester, Robert,No record found.
2014-01-08 11:17,Search,Stott, William,No record found.
2014-01-08 13:18,Search,Cox, Kirsten,No record found.
2014-01-08 14:19,Search,Burket, Clara,1994-01-29 09:05 -- Intent to Distribute; 1994-12-03 18:19 -- Theft; 1995-03-13 22:15 -- Money Laundering; 2001-12-11 17:55 -- Shoplifting; 2010-08-12 08:52 -- Shoplifting; 
#######,,,,
2014-01-09 11:15,New Entry,Santos, Wendy,2014-01-09 02:19 -- Intent to Distribute; 
2014-01-09 00:38,Search,Johnson, Robert,No record found.
2014-01-09 02:26,Search,Finney, Hannah,No record found.
2014-01-09 04:15,Search,Losey, Robert,No record found.
2014-01-09 04:28,Search,Ramey, Elizabeth,No record found.
2014-01-09 07:44,Record Updated,Winn, Kenneth,2014-01-09 07:44 -- Money Laundering
2014-01-09 09:44,Search,Cox, William,No record found.
2014-01-09 12:23,Search,Aviles, Mildred,No record found.
2014-01-09 12:30,Search,Conroy, Sherry,No record found.
2014-01-09 13:23,Search,Williams, Patricia,No record found.
2014-01-09 16:14,Search,Roberts, Miriam,No record found.
#######,,,,
2014-01-10 06:26,New Entry,Delgado, David,2014-01-10 01:39 -- Drunk Driving; 2014-01-10 03:30 -- Drunk Driving; 
2014-01-10 22:12,New Entry,Morgan, Benjamin,2014-01-10 02:08 -- Assault; 2014-01-10 03:37 -- Grand Theft Auto; 2014-01-10 13:59 -- Shoplifting; 
2014-01-10 23:02,New Entry,Harley, Marshall,2014-01-10 13:55 -- Tax Evasion; 
2014-01-10 06:24,Search,Graham, Robert,No record found.
2014-01-10 08:16,Search,Church, Justin,No record found.
2014-01-10 11:29,Search,Deforest, Linda,No record found.
2014-01-10 16:16,Record Updated,Brinson, Barbara,2014-01-10 16:16 -- Intent to Distribute
2014-01-10 18:07,Search,Benavides, Derrick,No record found.
2014-01-10 18:28,Search,Lane, Sarah,No record found.
2014-01-10 18:37,Search,Peterson, William,1979-08-02 16:24 -- Theft; 1990-05-07 20:35 -- Intent to Distribute; 2006-04-30 16:21 -- Vandalism; 
2014-01-10 18:57,Search,Hooten, Willie,1984-04-06 07:36 -- Shoplifting; 1984-05-18 19:19 -- Shoplifting; 1984-08-10 04:51 -- Shoplifting; 2009-04-16 22:48 -- Possession; 
2014-01-10 22:25,Search,Withers, Tom,1980-04-29 13:04 -- Identity Theft; 1980-11-23 14:12 -- Drunk Driving; 1987-06-10 23:25 -- Drunk Driving; 1995-10-15 22:50 -- Assault; 1999-04-13 21:01 -- Grand Theft Auto; 
#######,,,,
